Item Name,Qty,Price (total) (GBP),Item link,Notes,
PCB,1,$5.43,NA,pcb from jlc,
Hackpad kit,1,free cuz hack club yay,NA,parts,
3D printed parts,2,$0.00,NA,i have a 3d printer,
,,,,,
3d printing filament???,1,$17.99,https://uk.store.bambulab.com/products/pla-matte?variant=526206240994824201,i dont have thje colopur i need,"if im not allowed this pls dont reject, just add a note so i dont buy this, i dont want to use legion because delivery is slow."
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Total Price (GBP):,$23.42,,,,
